d,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
4.248,400,0.025,1600,0.167721793,0.302333207,9.206565536,0.746968792,0.89262413,8.313941406,0.407860291,0.561216122
3.894,400,0.025,1600,0.171818166,0.273317238,9.50607829,0.731249199,0.914587379,8.591490911,0.429305365,0.57852416
3.54,400,0.025,1600,0.176439614,0.241853785,9.816625215,0.712500613,0.937584459,8.879040756,0.454089405,0.596305841
3.186,400,0.025,1600,0.181718539,0.20788188,10.13184502,0.68982753,0.961550014,9.170295009,0.483009855,0.614124931
2.832,400,0.025,1600,0.187841081,0.17153881,10.43951222,0.661989757,0.986391111,9.453121111,0.517087205,0.631177766
2.478,400,0.025,1600,0.195079461,0.133354863,10.71702569,0.627260853,1.012052321,9.704973371,0.55759886,0.646022742
2.124,400,0.025,1600,0.203852183,0.094586465,10.92345022,0.583247088,1.0387282,9.884722019,0.606046188,0.656114159
1.77,400,0.025,1600,0.214846077,0.057715121,10.9859733,0.526750166,1.067413614,9.918559685,0.663907487,0.657041131
1.416,400,0.025,1600,0.229293694,0.02689675,10.77872825,0.453927271,1.100944296,9.677783951,0.731824471,0.641435822
1.062,400,0.025,1600,0.249714876,0.007249392,10.09442363,0.361455636,1.144022538,8.950401095,0.807687331,0.597884886
0.708,400,0.025,1600,0.282470866,0.000495325,8.597434927,0.249377458,1.188800816,7.408634111,0.88414206,0.510313095
0.354,400,0.025,1600,0.351973956,1.42E-07,5.585511507,0.122506757,1.110840958,4.474670549,0.951063384,0.352970802
5.31,400,0.1,1600,0.157723103,0.145715425,11.2990142,0.983512208,1.416673912,9.882340292,0.332693214,0.689695957
4.956,400,0.1,1600,0.160739207,0.124194123,11.56250312,0.978463283,1.364276776,10.19822634,0.357100326,0.705336308
4.602,400,0.1,1600,0.164053252,0.102205419,11.82999645,0.971228234,1.301723875,10.52827257,0.386915825,0.721141732
4.248,400,0.1,1600,0.167721793,0.080192647,12.09406205,0.960655005,1.228648922,10.86541312,0.423685868,0.736630964
3.894,400,0.1,1600,0.171818166,0.058872593,12.34186242,0.944964626,1.146225091,11.19563733,0.469212433,0.750979052
3.54,400,0.1,1600,0.176439614,0.039304606,12.55253477,0.921516275,1.058635461,11.49389931,0.525194985,0.762850293
3.186,400,0.1,1600,0.181718539,0.022848298,12.69524434,0.88675992,0.974890532,11.72035381,0.592288859,0.770276483
2.832,400,0.1,1600,0.187841081,0.010824624,12.73120109,0.836813805,0.909497039,11.82170405,0.668420958,0.770786116
2.478,400,0.1,1600,0.195079461,0.003782073,12.62360523,0.769158989,0.878785639,11.74481959,0.747227179,0.762048322
2.124,400,0.1,1600,0.203852183,0.000836626,12.35095818,0.684695852,0.891639809,11.45931837,0.819160799,0.742742789
1.77,400,0.1,1600,0.214846077,9.12E-05,11.90271849,0.587639442,0.942673057,10.96004543,0.876651488,0.712380308
1.416,400,0.1,1600,0.229293694,3.05E-06,11.24235401,0.482252853,1.018179651,10.22417436,0.918544497,0.669162065
1.062,400,0.1,1600,0.249714876,1.05E-08,10.25049395,0.370188602,1.10508167,9.145412276,0.948501425,0.607046317
0.708,400,0.1,1600,0.282470866,1.42E-13,8.626990422,0.250855024,1.178249482,7.448740939,0.970649004,0.511959546
0.354,400,0.1,1600,0.351973956,6.04E-28,5.592912951,0.1227368,1.108579297,4.484333654,0.987734841,0.353330439
5.31,400,0.025,1900,0.157723103,0.341635599,8.915429665,0.71048129,0.809867602,8.105562064,0.388142831,0.545965994
4.956,400,0.025,1900,0.160739207,0.319294783,9.164215676,0.699344327,0.8276635,8.336552176,0.403541321,0.560536085
4.602,400,0.025,1900,0.164053252,0.295262465,9.425156039,0.686640947,0.846473183,8.578682856,0.420775957,0.575735549
4.248,400,0.025,1900,0.167721793,0.269407032,9.697231316,0.672025189,0.866358276,8.83087304,0.44019521,0.59147736
3.894,400,0.025,1900,0.171818166,0.241620446,9.978135367,0.655047903,0.88737979,9.090755578,0.462234146,0.607589975
3.54,400,0.025,1900,0.176439614,0.211850038,10.2634195,0.635118975,0.909602383,9.35381712,0.487437906,0.623763373
3.186,400,0.025,1900,0.181718539,0.180155612,10.5450432,0.611455333,0.933107804,9.611935399,0.516488465,0.639459773
2.832,400,0.025,1900,0.187841081,0.146807986,10.80893374,0.583009287,0.958034232,9.850899505,0.550229474,0.653765286
2.478,400,0.025,1900,0.195079461,0.11245601,11.03084819,0.548380426,0.984676354,10.04617184,0.589672743,0.665143333
2.124,400,0.025,1900,0.203852183,0.078387393,11.16938124,0.50571854,1.013717672,10.15566357,0.635939857,0.671028895
1.77,400,0.025,1900,0.214846077,0.046870729,11.15449522,0.452692648,1.046706398,10.10778882,0.690030097,0.667194662
1.416,400,0.025,1900,0.229293694,0.021350946,10.8697142,0.386702217,1.086708559,9.783005645,0.752182676,0.646862056
