h3,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
5,400,0.025,1900,0.168266695,0.226771606,9.91344842,0.6689168,0.793588529,9.119859891,0.4446193,0.605031684
10,400,0.025,1900,0.176439614,0.211850038,10.2634195,0.635118975,0.909602383,9.35381712,0.487437906,0.623763373
15,400,0.025,1900,0.18317042,0.188260135,10.50396152,0.609634547,0.963723391,9.54023813,0.51870489,0.636909047
20,400,0.025,1900,0.188598461,0.167588474,10.67554839,0.589159511,1.005273894,9.670274497,0.54311367,0.646127061
25,400,0.025,1900,0.193033568,0.15049292,10.80004489,0.572011088,1.040374023,9.759670862,0.563059639,0.652655492
30,400,0.025,1900,0.196765875,0.136312994,10.89161174,0.557229922,1.070663525,9.820948219,0.579894833,0.657316429
35,400,0.025,1900,0.199989441,0.12439404,10.95955723,0.54422586,1.097173084,9.862384143,0.594440412,0.6606495
40,400,0.025,1900,0.202830779,0.114236676,11.01008648,0.53260849,1.120662254,9.889424228,0.607228636,0.66301147
45,400,0.025,1900,0.205375054,0.10547264,11.04746205,0.522106781,1.141700148,9.905761897,0.61862472,0.664646712
50,400,0.025,1900,0.207681864,0.097829294,11.07469264,0.512523337,1.160719217,9.91397342,0.628889648,0.665726194
100,400,0.025,1900,0.22365027,0.995910698,0.045602296,0.844323532,0.009028151,0.036574145,0.224637175,0.002718732
1,400,0.1,1900,0.158186003,0.990042089,0.050727061,0.999688164,0.008031049,0.042696012,0.158447068,0.003512722
5,400,0.1,1900,0.168266695,0.023339803,12.89352577,0.893955141,0.820536584,12.07298918,0.539934939,0.787054594
10,400,0.1,1900,0.176439614,0.018996309,13.00537196,0.832829302,0.873568283,12.13180368,0.634873615,0.791542628
15,400,0.1,1900,0.18317042,0.01181514,12.99186318,0.781580756,0.885140899,12.10672228,0.698150643,0.789020039
20,400,0.1,1900,0.188598461,0.00721449,12.92879792,0.739430853,0.903699259,12.02509867,0.741900217,0.783747924
25,400,0.1,1900,0.193033568,0.004518065,12.84691006,0.704457418,0.926559021,11.92035104,0.773507046,0.777545175
30,400,0.1,1900,0.196765875,0.002919558,12.75965683,0.675001947,0.950666976,11.80898985,0.797237764,0.771188534
35,400,0.1,1900,0.199989441,0.001943102,12.67289995,0.649815704,0.974498011,11.69840193,0.815643385,0.765000007
40,400,0.1,1900,0.202830779,0.001327597,12.58906692,0.627979128,0.997390357,11.59167657,0.830310001,0.759100594
45,400,0.1,1900,0.205375054,0.000928153,12.50905051,0.608813128,1.019079812,11.4899707,0.842264936,0.753524278
50,400,0.1,1900,0.207681864,0.000662099,12.43305065,0.591810041,1.039506888,11.39354376,0.852198099,0.74826764
100,400,0.1,1900,0.22365027,0.994089029,0.061280979,0.99940648,0.020489896,0.040791082,0.22414266,0.00364158
1,400,0.025,2200,0.158186003,0.996141502,0.030595752,0.825177525,0.002435188,0.028160564,0.158697006,0.001978865
5,400,0.025,2200,0.168266695,0.206314577,10.25372904,0.604487942,0.772619478,9.481109561,0.469522795,0.625978201
10,400,0.025,2200,0.176439614,0.190554854,10.58116943,0.570204556,0.889093596,9.692075832,0.512586466,0.643295956
15,400,0.025,2200,0.18317042,0.167987844,10.79694649,0.544851894,0.945029396,9.851917096,0.543555807,0.654867272
20,400,0.025,2200,0.188598461,0.148625997,10.94563227,0.524759099,0.987807456,9.957824813,0.567496836,0.662644478
25,400,0.025,2200,0.193033568,0.132799299,11.04986351,0.508106027,1.02372126,10.02614225,0.586921577,0.667906598
30,400,0.025,2200,0.196765875,0.119781509,11.12362271,0.493873342,1.054608988,10.06901372,0.603223872,0.671459697
35,400,0.025,2200,0.199989441,0.10891259,11.17586655,0.481440931,1.081600013,10.09426654,0.617242645,0.673819102
40,400,0.025,2200,0.202830779,0.099702233,11.21246814,0.470402277,1.105502612,10.10696553,0.629517872,0.675319529
45,400,0.025,2200,0.205375054,0.091794073,11.23741239,0.460477138,1.126910817,10.11050157,0.640418776,0.676187244
50,400,0.025,2200,0.207681864,0.084926867,11.25347498,0.451462797,1.146270717,10.10720426,0.650207638,0.676578557
100,400,0.025,2200,0.22365027,0.995565556,0.049649603,0.79933222,0.009486655,0.040162948,0.224784612,0.002960623
1,400,0.1,2200,0.158186003,0.989665854,0.055257876,0.99906114,0.008183363,0.047074513,0.158509444,0.003790828
5,400,0.1,2200,0.168266695,0.013584257,13.23145479,0.816534373,0.707709818,12.52374498,0.622762548,0.808491881
10,400,0.1,2200,0.176439614,0.009924633,13.21466703,0.743148813,0.784011538,12.4306555,0.707476468,0.804854201
15,400,0.1,2200,0.18317042,0.00577608,13.12147636,0.688733284,0.82473782,12.29673854,0.758694938,0.797249639
20,400,0.1,2200,0.188598461,0.003376597,13.01132792,0.647016708,0.862520216,12.1488077,0.792389382,0.788985095
25,400,0.1,2200,0.193033568,0.002051463,12.90134525,0.613838971,0.897621309,12.00372394,0.81613825,0.781000508
30,400,0.1,2200,0.196765875,0.001296737,12.79684583,0.586638927,0.929721165,11.86712466,0.833775478,0.773550863
35,400,0.1,2200,0.199989441,0.000848815,12.69912791,0.563791452,0.958929664,11.74019824,0.847410775,0.766667691
40,400,0.1,2200,0.202830779,0.000572517,12.60809795,0.54422223,0.985543736,11.62255422,0.858289623,0.760312016
45,400,0.1,2200,0.205375054,0.000396189,12.52321401,0.52719273,1.009875286,11.51333872,0.867190796,0.754426928
50,400,0.1,2200,0.207681864,0.000280296,12.44383376,0.512178029,1.032220476,11.41161328,0.874625612,0.748955691
100,400,0.1,2200,0.22365027,0.99335733,0.069591833,0.998360405,0.021809445,0.047782388,0.224292245,0.004137139
1,400,0.025,2500,0.158186003,0.996007476,0.032434172,0.784462841,0.002469785,0.029964387,0.158757779,0.002091804
5,400,0.025,2500,0.168266695,0.190949266,10.5097548,0.549762536,0.756577487,9.753177316,0.489069257,0.641741627
10,400,0.025,2500,0.176439614,0.174840215,10.81599262,0.515946228,0.873613104,9.942379513,0.532008993,0.657733822
15,400,0.025,2500,0.18317042,0.153215141,11.01076335,0.491302509,0.931052186,10.07971116,0.562536481,0.667975621
20,400,0.025,2500,0.188598461,0.134941089,11.14084983,0.47196879,0.974849083,10.16600075,0.585965588,0.674585789
25,400,0.025,2500,0.193033568,0.120130157,11.22903607,0.456067755,1.011448374,10.2175877,0.60487638,0.678847167
30,400,0.025,2500,0.196765875,0.108022351,11.28894648,0.442561878,1.042845122,10.24610136,0.620682564,0.681539932
35,400,0.025,2500,0.199989441,0.097962578,11.32914755,0.430825304,1.070246714,10.25890084,0.634229098,0.683153411
40,400,0.025,2500,0.202830779,0.089472823,11.35518745,0.420450553,1.094500365,10.26068709,0.646057225,0.684001111
